800,370,1
900,370,1
1000,370,1
1100,370,1
1200,370,0
1300,370,0
1400,370,0
1500,370,3
1600,370,3
1700,370,3
1800,370,3
1900,370,3
2000,370,3
700,340,1
800,340,1
900,340,1
1000,340,1
1100,340,0
1200,340,0
1300,340,0
1400,340,3
1500,340,3
1600,340,3
1700,340,3
1800,340,3
1900,340,3
2000,340,3
500,280,1
600,280,1
700,280,1
800,280,1
900,280,1
1000,280,0
1100,280,0
1200,280,0
1300,280,0
1400,280,0
1500,280,0
1600,280,0
1700,280,2
1800,280,2
1900,280,2
2000,280,2
400,250,1
500,250,1
600,250,1
700,250,1
800,250,1
900,250,0
1000,250,0
1100,250,0
1200,250,0
1300,250,0
1400,250,0
1500,250,2
1600,250,2
1700,250,2
1800,250,2
1900,250,2
2000,250,2
325,150,1
485,150,1
570,150,0
640,150,0
730,150,0
810,150,0
910,150,2
1010,150,2
1110,150,2
